sample_id,speaker,utt_id,target_word,condition,band,operation,target_loss,raw_prediction,mapped_prediction,mapped_correct,raw_exact,target_rank,target_distance,linf
F03||62||rain,F03,62,rain,retain_0-0.5k,0-0.5k,retain,4.10546875,green,reek,0,0,19,3,0.00020000000949949026
F03||62||rain,F03,62,rain,remove_0-0.5k,0-0.5k,remove,3.294921875,rain,rain,1,1,1,0,0.00020000338554382324
F03||62||rain,F03,62,rain,retain_0.5-2k,0.5-2k,retain,3.650390625,rain,rain,1,1,1,0,0.0002000001259148121
F03||62||rain,F03,62,rain,remove_0.5-2k,0.5-2k,remove,3.12890625,rain,rain,1,1,1,0,0.00020000338554382324
F03||62||rain,F03,62,rain,retain_2-4k,2-4k,retain,3.603515625,rain,rain,1,1,1,0,0.00020000338554382324
F03||62||rain,F03,62,rain,remove_2-4k,2-4k,remove,3.333984375,rain,rain,1,1,1,0,0.00020000338554382324
F03||62||rain,F03,62,rain,retain_4-8k,4-8k,retain,3.37109375,green,reek,0,0,19,3,0.00020000338554382324
F03||62||rain,F03,62,rain,remove_4-8k,4-8k,remove,3.75,rain,rain,1,1,1,0,0.00020000338554382324
F03||63||gadget,F03,63,gadget,retain_0-0.5k,0-0.5k,retain,4.859375,dodgy,dot,0,0,37,4,0.0001268985215574503
F03||63||gadget,F03,63,gadget,remove_0-0.5k,0-0.5k,remove,2.7890625,gadget,gadget,1,1,1,0,0.00020000338554382324
F03||63||gadget,F03,63,gadget,retain_0.5-2k,0.5-2k,retain,3.669921875,dodgy,dot,0,0,37,4,0.0002000001259148121
F03||63||gadget,F03,63,gadget,remove_0.5-2k,0.5-2k,remove,2.8203125,gadget,gadget,1,1,1,0,0.00020000338554382324
F03||63||gadget,F03,63,gadget,retain_2-4k,2-4k,retain,2.9765625,dodger,dagger,0,0,3,3,0.00020000338554382324
F03||63||gadget,F03,63,gadget,remove_2-4k,2-4k,remove,2.884765625,dodger,dagger,0,0,3,3,0.00020000338554382324
F03||63||gadget,F03,63,gadget,retain_4-8k,4-8k,retain,3.060546875,dodger,dagger,0,0,3,3,0.00020000338554382324
F03||63||gadget,F03,63,gadget,remove_4-8k,4-8k,remove,2.875,dodger,dagger,0,0,3,3,0.00020000338554382324
F03||69||down,F03,69,down,retain_0-0.5k,0-0.5k,retain,4.59765625,go,go,0,0,39,3,0.00010448961984366179
F03||69||down,F03,69,down,remove_0-0.5k,0-0.5k,remove,4.01171875,down,down,1,1,1,0,0.00020000338554382324
F03||69||down,F03,69,down,retain_0.5-2k,0.5-2k,retain,4.3984375,go,go,0,0,39,3,0.0002000001259148121
F03||69||down,F03,69,down,remove_0.5-2k,0.5-2k,remove,4.10546875,down,down,1,1,1,0,0.00020000338554382324
F03||69||down,F03,69,down,retain_2-4k,2-4k,retain,4.375,go,go,0,0,39,3,0.0002000001259148121
F03||69||down,F03,69,down,remove_2-4k,2-4k,remove,4.00390625,go,go,0,0,39,3,0.00020000338554382324
F03||69||down,F03,69,down,retain_4-8k,4-8k,retain,4.203125,go,go,0,0,39,3,0.00020000338554382324
F03||69||down,F03,69,down,remove_4-8k,4-8k,remove,4.2421875,go,go,0,0,39,3,0.00020000338554382324
F03||73||knee,F03,73,knee,retain_0-0.5k,0-0.5k,retain,4.2734375,me,he,0,0,67,3,0.00011323392391204834
F03||73||knee,F03,73,knee,remove_0-0.5k,0-0.5k,remove,3.056640625,knee,knee,1,1,1,0,0.00020000338554382324
F03||73||knee,F03,73,knee,retain_0.5-2k,0.5-2k,retain,3.3984375,knee,knee,1,1,1,0,0.00020000338554382324
F03||73||knee,F03,73,knee,remove_0.5-2k,0.5-2k,remove,3.1015625,knee,knee,1,1,1,0,0.00020000338554382324
F03||73||knee,F03,73,knee,retain_2-4k,2-4k,retain,2.93359375,knee,knee,1,1,1,0,0.00020000338554382324
F03||73||knee,F03,73,knee,remove_2-4k,2-4k,remove,3.43359375,knee,knee,1,1,1,0,0.00020000338554382324
F03||73||knee,F03,73,knee,retain_4-8k,4-8k,retain,3.525390625,knee,knee,1,1,1,0,0.00020000338554382324
F03||73||knee,F03,73,knee,remove_4-8k,4-8k,remove,2.93359375,knee,knee,1,1,1,0,0.00020000338554382324
F03||78||bit,F03,78,bit,retain_0-0.5k,0-0.5k,retain,4.7734375,but,bat,0,0,2,1,0.0001857312599895522
F03||78||bit,F03,78,bit,remove_0-0.5k,0-0.5k,remove,4.1015625,bit,bit,1,1,1,0,0.00020000338554382324
F03||78||bit,F03,78,bit,retain_0.5-2k,0.5-2k,retain,4.671875,but,bat,0,0,2,1,0.00020000338554382324
F03||78||bit,F03,78,bit,remove_0.5-2k,0.5-2k,remove,4.24609375,bait,bat,0,0,2,1,0.00020000338554382324
F03||78||bit,F03,78,bit,retain_2-4k,2-4k,retain,4.59375,bit,bit,1,1,1,0,0.0002000001259148121
F03||78||bit,F03,78,bit,remove_2-4k,2-4k,remove,4.26171875,bait,bat,0,0,2,1,0.00020000338554382324
F03||78||bit,F03,78,bit,retain_4-8k,4-8k,retain,4.6328125,perfect,select,0,0,79,6,0.00020000338554382324
F03||78||bit,F03,78,bit,remove_4-8k,4-8k,remove,4.34375,bait,bat,0,0,2,1,0.00020000338554382324
F03||82||share,F03,82,share,retain_0-0.5k,0-0.5k,retain,3.544921875,sure,here,0,0,4,2,0.00016688776668161154
F03||82||share,F03,82,share,remove_0-0.5k,0-0.5k,remove,3.404296875,shane,share,1,0,1,1,0.00020000338554382324
F03||82||share,F03,82,share,retain_0.5-2k,0.5-2k,retain,3.15234375,sure,here,0,0,4,2,0.0002000001259148121
F03||82||share,F03,82,share,remove_0.5-2k,0.5-2k,remove,3.232421875,share,share,1,1,1,0,0.00020000338554382324
F03||82||share,F03,82,share,retain_2-4k,2-4k,retain,3.716796875,sure,here,0,0,4,2,0.00020000338554382324
F03||82||share,F03,82,share,remove_2-4k,2-4k,remove,3.30078125,sure,here,0,0,4,2,0.00020000338554382324
F03||82||share,F03,82,share,retain_4-8k,4-8k,retain,3.365234375,sure,here,0,0,4,2,0.00020000338554382324
F03||82||share,F03,82,share,remove_4-8k,4-8k,remove,3.47265625,sure,here,0,0,4,2,0.00020000338554382324
F03||87||storm,F03,87,storm,retain_0-0.5k,0-0.5k,retain,5.80859375,star,start,0,0,15,2,0.00011668121442198753
F03||87||storm,F03,87,storm,remove_0-0.5k,0-0.5k,remove,3.7578125,storm,storm,1,1,1,0,0.00020000338554382324
F03||87||storm,F03,87,storm,retain_0.5-2k,0.5-2k,retain,4.5390625,storm,storm,1,1,1,0,0.0002000001259148121
F03||87||storm,F03,87,storm,remove_0.5-2k,0.5-2k,remove,3.84375,storm,storm,1,1,1,0,0.00020000338554382324
F03||87||storm,F03,87,storm,retain_2-4k,2-4k,retain,4.3671875,storm,storm,1,1,1,0,0.00020000338554382324
F03||87||storm,F03,87,storm,remove_2-4k,2-4k,remove,3.974609375,storm,storm,1,1,1,0,0.00020000338554382324
F03||87||storm,F03,87,storm,retain_4-8k,4-8k,retain,4.62109375,storm,storm,1,1,1,0,0.00020000338554382324
F03||87||storm,F03,87,storm,remove_4-8k,4-8k,remove,4.00390625,storm,storm,1,1,1,0,0.00020000338554382324
F03||90||jagged,F03,90,jagged,retain_0-0.5k,0-0.5k,retain,4.75,jager,dagger,0,0,2,2,9.815534576773643e-05
F03||90||jagged,F03,90,jagged,remove_0-0.5k,0-0.5k,remove,2.634765625,jagad,jagged,1,0,1,2,0.00020000338554382324
F03||90||jagged,F03,90,jagged,retain_0.5-2k,0.5-2k,retain,4.47265625,dragon,bran,0,0,105,5,0.00020000338554382324
F03||90||jagged,F03,90,jagged,remove_0.5-2k,0.5-2k,remove,2.748046875,jagad,jagged,1,0,1,2,0.00020000338554382324
F03||90||jagged,F03,90,jagged,retain_2-4k,2-4k,retain,3.927734375,dragon,bran,0,0,105,5,0.00020000338554382324
F03||90||jagged,F03,90,jagged,remove_2-4k,2-4k,remove,3.37890625,dragon,bran,0,0,105,5,0.00020000338554382324
F03||90||jagged,F03,90,jagged,retain_4-8k,4-8k,retain,3.853515625,dragon,bran,0,0,105,5,0.00020000338554382324
F03||90||jagged,F03,90,jagged,remove_4-8k,4-8k,remove,3.513671875,dragon,bran,0,0,105,5,0.00020000338554382324
F03||92||swore,F03,92,swore,retain_0-0.5k,0-0.5k,retain,4.515625,so,go,0,0,114,3,0.00014651520177721977
F03||92||swore,F03,92,swore,remove_0-0.5k,0-0.5k,remove,4.6015625,sworn,swore,1,0,1,1,0.00020000338554382324
F03||92||swore,F03,92,swore,retain_0.5-2k,0.5-2k,retain,4.01953125,so,go,0,0,114,3,0.00020000338554382324
F03||92||swore,F03,92,swore,remove_0.5-2k,0.5-2k,remove,4.45703125,sworn,swore,1,0,1,1,0.00020000338554382324
F03||92||swore,F03,92,swore,retain_2-4k,2-4k,retain,3.49609375,swore,swore,1,1,1,0,0.00020000338554382324
F03||92||swore,F03,92,swore,remove_2-4k,2-4k,remove,3.654296875,sworn,swore,1,0,1,1,0.00020000338554382324
F03||92||swore,F03,92,swore,retain_4-8k,4-8k,retain,3.265625,swore,swore,1,1,1,0,0.00020000338554382324
F03||92||swore,F03,92,swore,remove_4-8k,4-8k,remove,3.91015625,sworn,swore,1,0,1,1,0.00020000338554382324
F03||102||the,F03,102,the,retain_0-0.5k,0-0.5k,retain,5.734375,the,the,1,1,1,0,9.255053009837866e-05
F03||102||the,F03,102,the,remove_0-0.5k,0-0.5k,remove,4.953125,the,the,1,1,1,0,0.00020000338554382324
F03||102||the,F03,102,the,retain_0.5-2k,0.5-2k,retain,5.51171875,the,the,1,1,1,0,0.00019999989308416843
F03||102||the,F03,102,the,remove_0.5-2k,0.5-2k,remove,4.9765625,the,the,1,1,1,0,0.00020000338554382324
F03||102||the,F03,102,the,retain_2-4k,2-4k,retain,5.24609375,the,the,1,1,1,0,0.00020000338554382324
F03||102||the,F03,102,the,remove_2-4k,2-4k,remove,5.01953125,the,the,1,1,1,0,0.00020000338554382324
F03||102||the,F03,102,the,retain_4-8k,4-8k,retain,5.08984375,the,the,1,1,1,0,0.00020000338554382324
F03||102||the,F03,102,the,remove_4-8k,4-8k,remove,5.16796875,the,the,1,1,1,0,0.00020000338554382324
F03||104||beat,F03,104,beat,retain_0-0.5k,0-0.5k,retain,5.88671875,b,a,0,0,22,3,0.00011051539331674576
F03||104||beat,F03,104,beat,remove_0-0.5k,0-0.5k,remove,3.8203125,beat,beat,1,1,1,0,0.00020000338554382324
F03||104||beat,F03,104,beat,retain_0.5-2k,0.5-2k,retain,5.60546875,b,a,0,0,22,3,0.00020000338554382324
F03||104||beat,F03,104,beat,remove_0.5-2k,0.5-2k,remove,3.837890625,beat,beat,1,1,1,0,0.00020000338554382324
F03||104||beat,F03,104,beat,retain_2-4k,2-4k,retain,4.24609375,b,a,0,0,22,3,0.00020000338554382324
F03||104||beat,F03,104,beat,remove_2-4k,2-4k,remove,4.3515625,b,a,0,0,22,3,0.00020000338554382324
F03||104||beat,F03,104,beat,retain_4-8k,4-8k,retain,4.7265625,b,a,0,0,22,3,0.00020000338554382324
F03||104||beat,F03,104,beat,remove_4-8k,4-8k,remove,3.99609375,beat,beat,1,1,1,0,0.00020000338554382324
F03||106||beat,F03,106,beat,retain_0-0.5k,0-0.5k,retain,6.8203125,peace,race,0,0,6,3,0.0001201205886900425
F03||106||beat,F03,106,beat,remove_0-0.5k,0-0.5k,remove,3.94921875,beat,beat,1,1,1,0,0.00020000338554382324
F03||106||beat,F03,106,beat,retain_0.5-2k,0.5-2k,retain,6.36328125,peace,race,0,0,6,3,0.00020000338554382324
F03||106||beat,F03,106,beat,remove_0.5-2k,0.5-2k,remove,3.970703125,beat,beat,1,1,1,0,0.00020000338554382324
F03||106||beat,F03,106,beat,retain_2-4k,2-4k,retain,4.54296875,peace,race,0,0,6,3,0.00020000338554382324
F03||106||beat,F03,106,beat,remove_2-4k,2-4k,remove,4.63671875,peace,race,0,0,6,3,0.00020000338554382324
F03||106||beat,F03,106,beat,retain_4-8k,4-8k,retain,5.625,peace,race,0,0,6,3,0.00020000338554382324
F03||106||beat,F03,106,beat,remove_4-8k,4-8k,remove,4.26171875,peace,race,0,0,6,3,0.00020000338554382324
F03||108||air,F03,108,air,retain_0-0.5k,0-0.5k,retain,4.71875,air,air,1,1,1,0,0.00014313077554106712
F03||108||air,F03,108,air,remove_0-0.5k,0-0.5k,remove,3.9453125,air,air,1,1,1,0,0.00020000338554382324
F03||108||air,F03,108,air,retain_0.5-2k,0.5-2k,retain,4.41796875,air,air,1,1,1,0,0.00020000338554382324
F03||108||air,F03,108,air,remove_0.5-2k,0.5-2k,remove,4.015625,air,air,1,1,1,0,0.00020000338554382324
F03||108||air,F03,108,air,retain_2-4k,2-4k,retain,4.359375,air,air,1,1,1,0,0.00020000338554382324
F03||108||air,F03,108,air,remove_2-4k,2-4k,remove,4.1015625,air,air,1,1,1,0,0.00020000338554382324
F03||108||air,F03,108,air,retain_4-8k,4-8k,retain,4.22265625,air,air,1,1,1,0,0.00020000338554382324
F03||108||air,F03,108,air,remove_4-8k,4-8k,remove,4.3125,air,air,1,1,1,0,0.00020000338554382324
F03||109||farm,F03,109,farm,retain_0-0.5k,0-0.5k,retain,6.8671875,from,drop,0,0,2,2,0.00016081379726529121
F03||109||farm,F03,109,farm,remove_0-0.5k,0-0.5k,remove,3.779296875,farm,farm,1,1,1,0,0.00020000338554382324
F03||109||farm,F03,109,farm,retain_0.5-2k,0.5-2k,retain,6.21875,from,drop,0,0,2,2,0.0002000001259148121
F03||109||farm,F03,109,farm,remove_0.5-2k,0.5-2k,remove,3.9375,from,drop,0,0,2,2,0.00020000338554382324
F03||109||farm,F03,109,farm,retain_2-4k,2-4k,retain,4.39453125,from,drop,0,0,2,2,0.00020000338554382324
F03||109||farm,F03,109,farm,remove_2-4k,2-4k,remove,4.74609375,from,drop,0,0,2,2,0.00020000338554382324
F03||109||farm,F03,109,farm,retain_4-8k,4-8k,retain,5.796875,from,drop,0,0,2,2,0.00020000338554382324
F03||109||farm,F03,109,farm,remove_4-8k,4-8k,remove,4.01953125,from,drop,0,0,2,2,0.00020000338554382324
F03||111||warm,F03,111,warm,retain_0-0.5k,0-0.5k,retain,5.91015625,one,one,0,0,248,4,0.00010112824384123087
F03||111||warm,F03,111,warm,remove_0-0.5k,0-0.5k,remove,4.51171875,warm,warm,1,1,1,0,0.00020000338554382324
F03||111||warm,F03,111,warm,retain_0.5-2k,0.5-2k,retain,5.44921875,one,one,0,0,248,4,0.00020000338554382324
F03||111||warm,F03,111,warm,remove_0.5-2k,0.5-2k,remove,4.56640625,warm,warm,1,1,1,0,0.00020000338554382324
F03||111||warm,F03,111,warm,retain_2-4k,2-4k,retain,5.08984375,one,one,0,0,248,4,0.00020000338554382324
F03||111||warm,F03,111,warm,remove_2-4k,2-4k,remove,4.51953125,warm,warm,1,1,1,0,0.00020000338554382324
F03||111||warm,F03,111,warm,retain_4-8k,4-8k,retain,4.68359375,warm,warm,1,1,1,0,0.00020000338554382324
F03||111||warm,F03,111,warm,remove_4-8k,4-8k,remove,4.765625,warm,warm,1,1,1,0,0.00020000338554382324
F03||117||chair,F03,117,chair,retain_0-0.5k,0-0.5k,retain,5.20703125,cheer,cheer,0,0,2,2,0.00015359558165073395
F03||117||chair,F03,117,chair,remove_0-0.5k,0-0.5k,remove,3.9609375,chair,chair,1,1,1,0,0.00020000338554382324
F03||117||chair,F03,117,chair,retain_0.5-2k,0.5-2k,retain,5.09765625,cheer,cheer,0,0,2,2,0.0002000001259148121
F03||117||chair,F03,117,chair,remove_0.5-2k,0.5-2k,remove,4.03515625,chair,chair,1,1,1,0,0.00020000338554382324
F03||117||chair,F03,117,chair,retain_2-4k,2-4k,retain,4.59375,chair,chair,1,1,1,0,0.00020000338554382324
F03||117||chair,F03,117,chair,remove_2-4k,2-4k,remove,4.38671875,chair,chair,1,1,1,0,0.00020000338554382324
F03||117||chair,F03,117,chair,retain_4-8k,4-8k,retain,4.5234375,cheer,cheer,0,0,2,2,0.00020000338554382324
F03||117||chair,F03,117,chair,remove_4-8k,4-8k,remove,4.53125,chair,chair,1,1,1,0,0.00020000338554382324
F03||119||warm,F03,119,warm,retain_0-0.5k,0-0.5k,retain,6.0859375,one,one,0,0,248,4,0.0001274647074751556
F03||119||warm,F03,119,warm,remove_0-0.5k,0-0.5k,remove,4.42578125,warm,warm,1,1,1,0,0.00020000338554382324
F03||119||warm,F03,119,warm,retain_0.5-2k,0.5-2k,retain,5.55078125,one,one,0,0,248,4,0.0002000001259148121
F03||119||warm,F03,119,warm,remove_0.5-2k,0.5-2k,remove,4.453125,warm,warm,1,1,1,0,0.00020000338554382324
F03||119||warm,F03,119,warm,retain_2-4k,2-4k,retain,5.0,one,one,0,0,248,4,0.00020000338554382324
F03||119||warm,F03,119,warm,remove_2-4k,2-4k,remove,4.4296875,warm,warm,1,1,1,0,0.00020000338554382324
F03||119||warm,F03,119,warm,retain_4-8k,4-8k,retain,4.66015625,one,one,0,0,248,4,0.00020000338554382324
F03||119||warm,F03,119,warm,remove_4-8k,4-8k,remove,4.76953125,warm,warm,1,1,1,0,0.00020000338554382324
F03||127||storm,F03,127,storm,retain_0-0.5k,0-0.5k,retain,6.453125,store,store,0,0,2,1,0.00015887245535850525
F03||127||storm,F03,127,storm,remove_0-0.5k,0-0.5k,remove,3.5,storm,storm,1,1,1,0,0.00020000338554382324
F03||127||storm,F03,127,storm,retain_0.5-2k,0.5-2k,retain,5.796875,store,store,0,0,2,1,0.0002000001259148121
F03||127||storm,F03,127,storm,remove_0.5-2k,0.5-2k,remove,3.75,storm,storm,1,1,1,0,0.00020000338554382324
F03||127||storm,F03,127,storm,retain_2-4k,2-4k,retain,5.03515625,store,store,0,0,2,1,0.00020000338554382324
F03||127||storm,F03,127,storm,remove_2-4k,2-4k,remove,4.0703125,storm,storm,1,1,1,0,0.00020000338554382324
F03||127||storm,F03,127,storm,retain_4-8k,4-8k,retain,4.96484375,store,store,0,0,2,1,0.00020000338554382324
F03||127||storm,F03,127,storm,remove_4-8k,4-8k,remove,4.3125,storm,storm,1,1,1,0,0.00020000338554382324
F03||129||bad,F03,129,bad,retain_0-0.5k,0-0.5k,retain,6.22265625,yeah,bear,0,0,15,3,0.00012425504974089563
F03||129||bad,F03,129,bad,remove_0-0.5k,0-0.5k,remove,3.634765625,bad,bad,1,1,1,0,0.00020000338554382324
F03||129||bad,F03,129,bad,retain_0.5-2k,0.5-2k,retain,5.33984375,dad,bad,1,0,1,1,0.0002000001259148121
